#:GATKReport.v1.1:5
#:GATKTable:10:1:%s:%s:%s:%s:%s:%s:%s:%s:%s:%s:;
#:GATKTable:Concat:Job logs for Concat
jobName                             exechosts  startTime      formattedStartTime     analysisName  iteration  intermediate  formattedDoneTime      runtime  doneTime     
ExampleUnifiedGenotyper-1-259_2102  sparkdmz0  1353437018016  12-11-20 13:43:38:016  Concat                1  false         12-11-20 13:43:38:026       10  1353437018026

#:GATKTable:10:1:%s:%s:%s:%s:%s:%s:%s:%s:%s:%s:;
#:GATKTable:Gather:Job logs for Gather
jobName                             exechosts    startTime      formattedStartTime     analysisName  iteration  intermediate  formattedDoneTime      runtime  doneTime     
ExampleUnifiedGenotyper-1-258_1955  canoespark1  1353436958035  12-11-20 13:42:38:035  Gather                1  false         12-11-20 13:43:27:898    49863  1353437007898

#:GATKTable:10:1:%s:%s:%s:%s:%s:%s:%s:%s:%s:%s:;
#:GATKTable:LocusScatterFunction:Job logs for LocusScatterFunction
jobName                           exechosts  startTime      formattedStartTime     analysisName          iteration  intermediate  formattedDoneTime      runtime  doneTime     
ExampleUnifiedGenotyper-1-1_2141  sparkdmz0  1353436627987  12-11-20 13:37:07:987  LocusScatterFunction          1  true          12-11-20 13:37:08:340      353  1353436628340

#:GATKTable:10:256:%s:%s:%s:%s:%s:%s:%s:%s:%s:%s:;
#:GATKTable:UnifiedGenotyper:Job logs for UnifiedGenotyper
jobName                             exechosts    startTime      formattedStartTime     analysisName      iteration  intermediate  formattedDoneTime      runtime  doneTime     
ExampleUnifiedGenotyper-1-116_1925  canoespark3  1353436729584  12-11-20 13:38:49:584  UnifiedGenotyper          1  true          12-11-20 13:40:12:199    82615  1353436812199
ExampleUnifiedGenotyper-1-160_1926  canoespark3  1353436778048  12-11-20 13:39:38:048  UnifiedGenotyper          1  true          12-11-20 13:40:37:615    59567  1353436837615
ExampleUnifiedGenotyper-1-63_1927   canoespark2  1353436658985  12-11-20 13:37:38:985  UnifiedGenotyper          1  true          12-11-20 13:38:31:062    52077  1353436711062
ExampleUnifiedGenotyper-1-50_1928   canoespark1  1353436658838  12-11-20 13:37:38:838  UnifiedGenotyper          1  true          12-11-20 13:38:40:112    61274  1353436720112
ExampleUnifiedGenotyper-1-107_1929  canoespark2  1353436725322  12-11-20 13:38:45:322  UnifiedGenotyper          1  true          12-11-20 13:39:42:822    57500  1353436782822
ExampleUnifiedGenotyper-1-194_1930  canoespark1  1353436813091  12-11-20 13:40:13:091  UnifiedGenotyper          1  true          12-11-20 13:41:11:241    58150  1353436871241
ExampleUnifiedGenotyper-1-127_1932  canoespark2  1353436745720  12-11-20 13:39:05:720  UnifiedGenotyper          1  true          12-11-20 13:40:14:544    68824  1353436814544
ExampleUnifiedGenotyper-1-250_1933  canoespark1  1353436857266  12-11-20 13:40:57:266  UnifiedGenotyper          1  true          12-11-20 13:41:46:991    49725  1353436906991
ExampleUnifiedGenotyper-1-141_1934  canoespark0  1353436766928  12-11-20 13:39:26:928  UnifiedGenotyper          1  true          12-11-20 13:40:25:511    58583  1353436825511
ExampleUnifiedGenotyper-1-43_1935   canoespark2  1353436658737  12-11-20 13:37:38:737  UnifiedGenotyper          1  true          12-11-20 13:38:40:705    61968  1353436720705
ExampleUnifiedGenotyper-1-80_1936   canoespark3  1353436716415  12-11-20 13:38:36:415  UnifiedGenotyper          1  true          12-11-20 13:39:36:895    60480  1353436776895
ExampleUnifiedGenotyper-1-150_1937  canoespark1  1353436771507  12-11-20 13:39:31:507  UnifiedGenotyper          1  true          12-11-20 13:40:29:075    57568  1353436829075
ExampleUnifiedGenotyper-1-165_1938  canoespark0  1353436782108  12-11-20 13:39:42:108  UnifiedGenotyper          1  true          12-11-20 13:40:32:574    50466  1353436832574
ExampleUnifiedGenotyper-1-79_1939   canoespark2  1353436715421  12-11-20 13:38:35:421  UnifiedGenotyper          1  true          12-11-20 13:39:29:441    54020  1353436769441
ExampleUnifiedGenotyper-1-229_1940  canoespark0  1353436838224  12-11-20 13:40:38:224  UnifiedGenotyper          1  true          12-11-20 13:42:08:723    90499  1353436928723
ExampleUnifiedGenotyper-1-33_1941   canoespark0  1353436658625  12-11-20 13:37:38:625  UnifiedGenotyper          1  true          12-11-20 13:38:45:586    66961  1353436725586
ExampleUnifiedGenotyper-1-136_1942  canoespark3  1353436764247  12-11-20 13:39:24:247  UnifiedGenotyper          1  true          12-11-20 13:40:21:799    57552  1353436821799
ExampleUnifiedGenotyper-1-31_1943   canoespark2  1353436658602  12-11-20 13:37:38:602  UnifiedGenotyper          1  true          12-11-20 13:38:50:554    71952  1353436730554
ExampleUnifiedGenotyper-1-24_1944   canoespark3  1353436658518  12-11-20 13:37:38:518  UnifiedGenotyper          1  true          12-11-20 13:38:50:761    72243  1353436730761
ExampleUnifiedGenotyper-1-49_1945   canoespark0  1353436658829  12-11-20 13:37:38:829  UnifiedGenotyper          1  true          12-11-20 13:38:28:277    49448  1353436708277
