#:GATKReport.v1.1:5
#:GATKTable:10:1:%s:%s:%s:%s:%s:%s:%s:%s:%s:%s:;
#:GATKTable:Concat:Job logs for Concat
jobName                           exechosts  startTime      formattedStartTime    analysisName  iteration  intermediate  formattedDoneTime     runtime  doneTime     
ExampleUnifiedGenotyper-1-35_194  sparkdmz0  1353333472643  12-11-19 8:57:52:643  Concat                1  false         12-11-19 8:57:52:645        2  1353333472645

#:GATKTable:10:1:%s:%s:%s:%s:%s:%s:%s:%s:%s:%s:;
#:GATKTable:Gather:Job logs for Gather
jobName                           exechosts    startTime      formattedStartTime    analysisName  iteration  intermediate  formattedDoneTime     runtime  doneTime     
ExampleUnifiedGenotyper-1-34_210  canoespark1  1353333412654  12-11-19 8:56:52:654  Gather                1  false         12-11-19 8:57:28:780    36126  1353333448780

#:GATKTable:10:1:%s:%s:%s:%s:%s:%s:%s:%s:%s:%s:;
#:GATKTable:LocusScatterFunction:Job logs for LocusScatterFunction
jobName                          exechosts  startTime      formattedStartTime    analysisName          iteration  intermediate  formattedDoneTime     runtime  doneTime     
ExampleUnifiedGenotyper-1-1_204  sparkdmz0  1353332992630  12-11-19 8:49:52:630  LocusScatterFunction          1  true          12-11-19 8:49:52:720       90  1353332992720

#:GATKTable:10:32:%s:%s:%s:%s:%s:%s:%s:%s:%s:%s:;
#:GATKTable:UnifiedGenotyper:Job logs for UnifiedGenotyper
jobName                           exechosts    startTime      formattedStartTime    analysisName      iteration  intermediate  formattedDoneTime     runtime  doneTime     
ExampleUnifiedGenotyper-1-4_184   canoespark3  1353333022699  12-11-19 8:50:22:699  UnifiedGenotyper          1  true          12-11-19 8:56:22:428   359729  1353333382428
ExampleUnifiedGenotyper-1-21_185  canoespark0  1353333022974  12-11-19 8:50:22:974  UnifiedGenotyper          1  true          12-11-19 8:56:17:425   354451  1353333377425
ExampleUnifiedGenotyper-1-25_186  canoespark0  1353333023021  12-11-19 8:50:23:021  UnifiedGenotyper          1  true          12-11-19 8:54:26:597   243576  1353333266597
ExampleUnifiedGenotyper-1-15_187  canoespark2  1353333022888  12-11-19 8:50:22:888  UnifiedGenotyper          1  true          12-11-19 8:55:53:500   330612  1353333353500
ExampleUnifiedGenotyper-1-20_189  canoespark3  1353333022962  12-11-19 8:50:22:962  UnifiedGenotyper          1  true          12-11-19 8:55:25:066   302104  1353333325066
ExampleUnifiedGenotyper-1-16_190  canoespark3  1353333022906  12-11-19 8:50:22:906  UnifiedGenotyper          1  true          12-11-19 8:56:09:711   346805  1353333369711
ExampleUnifiedGenotyper-1-11_191  canoespark2  1353333022833  12-11-19 8:50:22:833  UnifiedGenotyper          1  true          12-11-19 8:54:51:140   268307  1353333291140
ExampleUnifiedGenotyper-1-30_192  canoespark1  1353333023070  12-11-19 8:50:23:070  UnifiedGenotyper          1  true          12-11-19 8:56:31:562   368492  1353333391562
ExampleUnifiedGenotyper-1-2_193   canoespark1  1353333022666  12-11-19 8:50:22:666  UnifiedGenotyper          1  true          12-11-19 8:56:06:218   343552  1353333366218
ExampleUnifiedGenotyper-1-26_195  canoespark1  1353333023031  12-11-19 8:50:23:031  UnifiedGenotyper          1  true          12-11-19 8:55:59:434   336403  1353333359434
